time (s),/Bin<1> (V),Expression ,Value,Value,time (s),/Bin<0> (V),/Ain<0> (V),,
1.27E-08,1.8, , , ,6.39E-09,0,1.8,,
1.27E-08,1.8, , , ,6.40E-09,0,1.8,,
1.27E-08,1.8, , , ,6.41E-09,0,1.8,,
1.27E-08,1.8, , , ,6.42E-09,0,1.8,,
2.02E-08,1.8, , , ,6.42E-09,0,1.8,,
2.03E-08,1.8, , , ,6.43E-09,0,1.8,,
2.03E-08,1.8, , , ,6.43E-09,0,1.8,,
2.03E-08,1.8, , , ,6.44E-09,0,1.8,,
2.03E-08,1.8, , , ,6.44E-09,0,1.8,,
2.03E-08,1.8, , , ,6.45E-09,0,1.8,,
2.03E-08,1.8, , , ,6.45E-09,0,1.8,,
2.03E-08,1.8, , , ,6.46E-09,0,1.8,,
2.03E-08,1.8, , , ,6.47E-09,0,1.8,,
2.03E-08,1.8, , , ,6.48E-09,0,1.8,,
2.03E-08,1.8, , , ,6.49E-09,0,1.8,,
2.02E-08,1.8, , , ,6.51E-09,0,1.8,,
2.02E-08,1.8, , , ,6.52E-09,0,1.8,,
2.02E-08,1.8, , , ,6.54E-09,0,1.8,,
2.04E-08,1.8, , , ,6.56E-09,0,1.8,,
2.02E-08,1.8, , , ,6.58E-09,0,1.8,,
2.02E-08,1.8, , , ,6.60E-09,0,1.8,,
2.02E-08,1.8, , , ,6.61E-09,0,1.8,,
2.02E-08,1.8, , , ,6.61E-09,0,1.8,,
2.02E-08,1.8, , , ,6.62E-09,0,1.8,,
2.02E-08,1.8, , , ,6.63E-09,0,1.8,,
2.02E-08,1.8, , , ,6.63E-09,0,1.8,,
2.02E-08,1.8, , , ,6.64E-09,0,1.8,,
2.02E-08,1.8, , , ,6.64E-09,0,1.8,,
2.02E-08,1.8, , , ,6.64E-09,0,1.8,,
2.02E-08,1.8, , , ,6.65E-09,0,1.8,,
2.02E-08,1.8, , , ,6.66E-09,0,1.8,,
2.05E-08,1.8, , , ,6.66E-09,0,1.8,,
1.40E-08,1.8, , , ,6.67E-09,0,1.8,,
1.40E-08,1.8, , , ,6.68E-09,0,1.8,,
1.40E-08,1.8, , , ,6.70E-09,0,1.8,,
1.41E-08,1.8, , , ,6.71E-09,0,1.8,,
1.41E-08,1.8, , , ,6.73E-09,0,1.8,,
1.41E-08,1.8, , , ,6.74E-09,0,1.8,,
1.41E-08,1.8, , , ,6.76E-09,0,1.8,,
1.41E-08,1.8, , , ,6.78E-09,0,1.8,,
1.41E-08,1.8, , , ,6.80E-09,0,1.8,,
1.41E-08,1.8, , , ,6.81E-09,0,1.8,,
1.41E-08,1.8, , , ,6.82E-09,0,1.8,,
2.06E-08,1.8, , , ,6.83E-09,0,1.8,,
2.06E-08,1.8, , , ,6.83E-09,0,1.8,,
8.24E-09,1.8, , , ,6.84E-09,0,1.8,,
2.05E-08,1.8, , , ,6.84E-09,0,1.8,,
2.05E-08,1.8, , , ,6.85E-09,0,1.8,,
2.05E-08,1.8, , , ,6.86E-09,0,1.8,,
2.05E-08,1.8, , , ,6.86E-09,0,1.8,,
2.05E-08,1.8, , , ,6.87E-09,0,1.8,,
2.05E-08,1.8, , , ,6.87E-09,0,1.8,,
2.04E-08,1.8, , , ,6.89E-09,0,1.8,,
2.04E-08,1.8, , , ,6.90E-09,0,1.8,,
2.04E-08,1.8, , , ,6.92E-09,0,1.8,,
2.04E-08,1.8, , , ,6.93E-09,0,1.8,,
2.04E-08,1.8, , , ,6.95E-09,0,1.8,,
2.04E-08,1.8, , , ,6.97E-09,0,1.8,,
2.86E-08,1.8, , , ,6.99E-09,0,1.8,,
2.88E-08,1.8, , , ,7.03E-09,0,1.8,,
2.88E-08,1.8, , , ,7.07E-09,0,1.8,,
2.87E-08,1.8, , , ,7.13E-09,0,1.8,,
2.87E-08,1.8, , , ,7.21E-09,0,1.8,,
2.87E-08,1.8, , , ,7.30E-09,0,1.8,,
2.87E-08,1.8, , , ,7.38E-09,0,1.8,,
2.87E-08,1.8, , , ,7.47E-09,0,1.8,,
2.87E-08,1.8, , , ,7.55E-09,0,1.8,,
2.87E-08,1.8, , , ,7.66E-09,0,1.8,,
