Expression ,Value,time (s),/Bin<1> (V),/Ain<1> (V),/Ain<0> (V),/Bin<0> (V)
 , ,6.796E-9,1.800,0.000,1.800,0.000
 , ,6.812E-9,1.800,0.000,1.800,0.000
 , ,6.819E-9,1.800,0.000,1.800,0.000
 , ,6.828E-9,1.800,0.000,1.800,0.000
 , ,6.835E-9,1.800,0.000,1.800,0.000
 , ,6.841E-9,1.800,0.000,1.800,0.000
 , ,6.846E-9,1.800,0.000,1.800,0.000
 , ,6.851E-9,1.800,0.000,1.800,0.000
 , ,6.857E-9,1.800,0.000,1.800,0.000
 , ,6.863E-9,1.800,0.000,1.800,0.000
 , ,6.869E-9,1.800,0.000,1.800,0.000
 , ,6.879E-9,1.800,0.000,1.800,0.000
 , ,6.890E-9,1.800,0.000,1.800,0.000
 , ,6.904E-9,1.800,0.000,1.800,0.000
 , ,6.919E-9,1.800,0.000,1.800,0.000
 , ,6.934E-9,1.800,0.000,1.800,0.000
 , ,6.953E-9,1.800,0.000,1.800,0.000
 , ,6.974E-9,1.800,0.000,1.800,0.000
 , ,7.002E-9,1.800,0.000,1.800,0.000
 , ,7.038E-9,1.800,0.000,1.800,0.000
 , ,7.091E-9,1.800,0.000,1.800,0.000
 , ,7.155E-9,1.800,0.000,1.800,0.000
 , ,7.241E-9,1.800,0.000,1.800,0.000
 , ,7.332E-9,1.800,0.000,1.800,0.000
 , ,7.421E-9,1.800,0.000,1.800,0.000
 , ,7.501E-9,1.800,0.000,1.800,0.000
 , ,7.593E-9,1.800,0.000,1.800,0.000
 , ,7.687E-9,1.800,0.000,1.800,0.000
 , ,7.793E-9,1.800,0.000,1.800,0.000
 , ,7.897E-9,1.800,0.000,1.800,0.000
 , ,8.000E-9,1.800,0.000,1.800,0.000
 , ,8.007E-9,1.800,129.2E-3,1.800,129.2E-3
 , ,8.019E-9,1.800,333.0E-3,1.800,333.0E-3
 , ,8.027E-9,1.800,485.0E-3,1.800,485.0E-3
 , ,8.032E-9,1.800,578.1E-3,1.800,578.1E-3
 , ,8.039E-9,1.800,710.7E-3,1.800,710.7E-3
 , ,8.045E-9,1.800,806.6E-3,1.800,806.6E-3
 , ,8.049E-9,1.800,880.1E-3,1.800,880.1E-3
 , ,8.054E-9,1.800,965.2E-3,1.800,965.2E-3
 , ,8.058E-9,1.800,1.041,1.800,1.041
 , ,8.064E-9,1.800,1.151,1.800,1.151
 , ,8.070E-9,1.800,1.261,1.800,1.261
 , ,8.077E-9,1.800,1.391,1.800,1.391
 , ,8.087E-9,1.800,1.565,1.800,1.565
 , ,8.093E-9,1.800,1.682,1.800,1.682
 , ,8.100E-9,1.800,1.800,1.800,1.800
 , ,8.102E-9,1.758,1.800,1.758,1.800
 , ,8.106E-9,1.698,1.800,1.698,1.800
 , ,8.109E-9,1.641,1.800,1.641,1.800
 , ,8.113E-9,1.562,1.800,1.562,1.800
 , ,8.119E-9,1.464,1.800,1.464,1.800
 , ,8.124E-9,1.360,1.800,1.360,1.800
 , ,8.130E-9,1.258,1.800,1.258,1.800
 , ,8.137E-9,1.139,1.800,1.139,1.800
 , ,8.144E-9,1.009,1.800,1.009,1.800
 , ,8.153E-9,854.6E-3,1.800,854.6E-3,1.800
 , ,8.163E-9,673.2E-3,1.800,673.2E-3,1.800
 , ,8.174E-9,461.5E-3,1.800,461.5E-3,1.800
 , ,8.186E-9,258.2E-3,1.800,258.2E-3,1.800
 , ,8.193E-9,129.1E-3,1.800,129.1E-3,1.800
 , ,8.200E-9,0.000,1.800,0.000,1.800
 , ,8.202E-9,0.000,1.800,0.000,1.800
